time,elapsed_s,target_rate,sent_rate,sent_total,failed_total
19:46:51,10,250.0,242.5,2425,0
19:47:01,20,250.0,250.0,4925,0
19:47:11,30,250.0,250.0,7425,0
19:47:21,40,250.0,250.0,9925,0
19:47:31,50,250.0,248.0,12405,0
19:47:41,60,250.0,249.5,14900,0
19:47:51,70,250.0,250.0,17400,0
19:48:01,80,250.0,250.0,19900,0
19:48:11,90,250.0,250.0,22400,0
19:48:21,100,250.0,250.0,24900,0
19:48:31,110,250.0,250.0,27400,0
19:48:41,120,250.0,250.0,29900,0
19:48:51,130,250.0,250.0,32400,0
19:49:01,140,250.0,250.0,34900,0
19:49:11,150,250.0,248.5,37385,0
19:49:21,160,250.0,249.0,39875,0
19:49:31,170,250.0,250.0,42375,0
19:49:41,180,250.0,250.0,44875,0
19:49:51,190,250.0,250.0,47375,0
19:50:01,200,250.0,250.0,49875,0
19:50:11,210,250.0,250.0,52375,0
19:50:21,220,250.0,250.0,54875,0
19:50:31,230,250.0,247.5,57350,0
19:50:41,240,250.0,250.0,59850,0
19:50:51,250,250.0,250.0,62350,0
19:51:01,260,250.0,250.0,64850,0
19:51:11,270,250.0,250.0,67350,0
19:51:21,280,250.0,250.0,69850,0
19:51:31,290,250.0,250.0,72350,0
19:51:41,300,250.0,250.0,74850,0
19:51:51,310,250.0,250.0,77350,0
19:52:01,320,250.0,250.0,79850,0
19:52:11,330,250.0,248.0,82330,0
19:52:21,340,250.0,249.5,84825,0
19:52:31,350,250.0,250.0,87325,0
19:52:41,360,250.0,250.0,89825,0
19:52:51,370,250.0,250.0,92325,0
19:53:01,380,250.0,249.0,94815,0
19:53:11,390,250.0,250.5,97320,0
19:53:21,400,250.0,250.5,99825,0
19:53:31,410,250.0,249.0,102315,0
19:53:41,420,250.0,250.0,104815,0
19:53:51,430,250.0,248.5,107300,0
19:54:01,440,250.0,250.0,109800,0
19:54:11,450,250.0,250.0,112300,0
19:54:21,460,250.0,250.0,114800,0
19:54:31,470,250.0,250.0,117300,0
19:54:41,480,250.0,244.5,119745,0
19:54:51,490,250.0,255.5,122300,0
19:55:01,500,250.0,248.0,124780,0
19:55:11,510,250.0,249.5,127275,0
19:55:21,520,250.0,250.0,129775,0
19:55:31,530,250.0,250.0,132275,0
19:55:41,540,250.0,250.0,134775,0
19:55:51,550,250.0,250.0,137275,0
19:56:01,560,250.0,250.0,139775,0
19:56:11,570,250.0,250.0,142275,0
19:56:21,580,250.0,249.5,144770,0
19:56:31,590,250.0,250.5,147275,0
19:56:41,600,250.0,249.0,149765,0
