time,running,desired,pending,visible,in_flight
19:45:49,1,1,0,0,0
19:46:21,1,1,0,0,0
19:46:54,1,1,0,0,0
19:47:26,1,1,0,5657,1
19:47:59,1,1,0,8692,6
19:48:31,1,1,0,7897,3
19:49:03,1,1,0,10757,9
19:49:36,1,1,0,15177,2
19:50:08,1,1,0,18122,6
19:50:41,1,1,0,24982,4
19:51:13,1,1,0,28177,3
19:51:46,1,1,0,31352,8
19:52:18,1,1,0,34307,3
19:52:51,1,1,0,37707,8
19:53:23,1,1,0,40812,1
19:53:55,1,1,0,44277,6
19:54:28,1,1,0,47742,0
19:55:00,1,1,0,50872,8
19:55:33,1,1,0,54042,5
19:56:05,1,1,0,52544,6
19:56:38,1,1,0,60357,5
19:57:10,1,1,0,58352,9
19:57:42,1,1,0,50752,4
19:58:17,1,1,0,45982,10
19:58:49,1,1,0,44582,2
19:59:22,1,1,0,36302,6
19:59:54,1,1,0,31372,3
20:00:27,1,1,0,27062,4
20:00:59,1,1,0,24242,9
20:01:32,1,1,0,17862,9
20:02:04,1,1,0,12952,10
20:02:36,1,1,0,7902,7
20:03:09,1,1,0,10842,7
20:03:41,1,1,0,1946,10
20:04:14,1,1,0,0,0
20:04:46,1,1,0,0,0
20:05:18,1,1,0,0,0
