time,elapsed_s,target_rate,sent_rate,sent_total,failed_total
10:27:13,10,50.0,48.5,485,0
10:27:23,20,50.0,49.3,978,0
10:27:33,30,50.0,50.6,1484,0
10:27:43,40,50.0,49.9,1983,0
10:27:53,50,50.0,49.5,2478,0
10:28:03,60,50.0,50.3,2981,0
10:28:13,70,50.0,50.2,3483,0
10:28:23,80,50.0,50.2,3985,0
10:28:33,90,50.0,49.9,4484,0
10:28:43,100,50.0,50.1,4985,0
10:28:53,110,50.0,49.5,5480,0
10:29:03,120,50.0,50.1,5981,0
10:29:13,130,54.2,52.3,6504,0
10:29:23,140,58.3,56.2,7066,0
10:29:33,150,62.5,59.7,7663,0
10:29:43,160,66.7,64.5,8308,0
10:29:53,170,70.8,67.9,8987,0
10:30:03,180,75.0,73.4,9721,0
10:30:13,190,79.2,77.0,10491,0
10:30:23,200,83.3,81.5,11306,0
10:30:33,210,87.5,85.9,12165,0
10:30:43,220,91.7,88.4,13049,0
10:30:53,230,95.8,93.7,13986,0
10:31:03,240,100.0,97.7,14963,0
10:31:13,250,104.2,102.1,15984,0
10:31:23,260,108.3,106.1,17045,0
10:31:33,270,112.5,110.6,18151,0
10:31:43,280,116.7,113.5,19286,0
10:31:53,290,120.8,119.5,20481,0
10:32:03,300,125.0,122.6,21707,0
10:32:13,310,129.2,126.8,22975,0
10:32:23,320,133.3,130.9,24284,0
10:32:33,330,137.5,135.5,25639,0
10:32:43,340,141.7,139.4,27033,0
10:32:53,350,145.8,143.0,28463,0
10:33:03,360,150.0,147.7,29940,0
10:33:13,370,154.2,151.7,31457,0
10:33:23,380,158.3,156.2,33019,0
10:33:33,390,162.5,159.8,34617,0
10:33:43,400,166.7,164.8,36265,0
10:33:53,410,170.8,166.5,37930,0
10:34:03,420,175.0,171.2,39642,0
10:34:13,430,179.2,178.1,41423,0
10:34:23,440,183.3,181.5,43238,0
10:34:33,450,187.5,185.3,45091,0
10:34:43,460,191.7,190.7,46998,0
10:34:53,470,195.8,193.5,48933,0
10:35:03,480,200.0,198.6,50919,0
10:35:13,490,204.2,201.8,52937,0
10:35:23,500,208.3,205.7,54994,0
10:35:33,510,212.5,211.5,57109,0
10:35:43,520,216.7,215.2,59261,0
10:35:53,530,220.8,216.0,61421,0
10:36:03,540,225.0,222.3,63644,0
10:36:13,550,229.2,226.2,65906,0
10:36:23,560,233.3,231.9,68225,0
10:36:33,570,237.5,235.4,70579,0
10:36:43,580,241.7,240.5,72984,0
10:36:53,590,245.8,241.2,75396,0
10:37:03,600,250.0,246.8,77864,0
10:37:13,610,254.2,251.9,80383,0
10:37:23,620,258.3,255.3,82936,0
10:37:33,630,262.5,261.4,85550,0
10:37:43,640,266.7,264.7,88197,0
10:37:53,650,270.8,269.0,90887,0
10:38:03,660,275.0,272.8,93615,0
10:38:13,670,279.2,278.5,96400,0
10:38:23,680,283.3,279.9,99199,0
10:38:33,690,287.5,283.6,102035,0
10:38:43,700,291.7,288.8,104923,0
10:38:53,710,295.8,292.5,107848,0
10:39:03,720,300.0,298.8,110836,0
10:39:13,730,300.0,299.6,113832,0
10:39:23,740,300.0,301.1,116843,0
10:39:33,750,300.0,301.3,119856,0
10:39:43,760,300.0,300.0,122856,0
10:39:53,770,300.0,296.8,125824,0
10:40:03,780,300.0,303.9,128863,0
10:40:13,790,300.0,297.7,131840,0
10:40:23,800,300.0,296.0,134800,0
10:40:33,810,300.0,298.0,137780,0
10:40:43,820,300.0,302.2,140802,0
10:40:53,830,300.0,299.8,143800,0
10:41:03,840,300.0,300.2,146802,0
10:41:13,850,300.0,299.4,149796,0
10:41:23,860,300.0,299.4,152790,0
10:41:33,870,300.0,299.4,155784,0
10:41:43,880,300.0,298.8,158772,0
10:41:53,890,300.0,301.5,161787,0
10:42:03,900,300.0,296.7,164754,0
10:42:13,910,300.0,301.8,167772,0
10:42:23,920,300.0,298.0,170752,0
10:42:33,930,300.0,299.1,173743,0
10:42:43,940,300.0,302.6,176769,0
10:42:53,950,300.0,299.6,179765,0
10:43:03,960,300.0,300.0,182765,0
10:43:13,970,300.0,300.5,185770,0
10:43:23,980,300.0,299.8,188768,0
10:43:33,990,300.0,299.8,191766,0
10:43:43,1000,300.0,296.6,194732,0
10:43:53,1010,300.0,302.7,197759,0
10:44:03,1020,300.0,301.1,200770,0
10:44:13,1030,279.1,289.8,203668,0
10:44:23,1040,258.3,268.1,206349,0
10:44:33,1050,237.5,247.9,208828,0
10:44:43,1060,216.6,229.2,211120,0
10:44:53,1070,195.8,206.0,213180,0
10:45:03,1080,175.0,184.8,215028,0
10:45:13,1090,154.1,163.8,216666,0
10:45:23,1100,133.3,143.6,218102,0
10:45:33,1110,112.5,124.2,219344,0
10:45:43,1120,91.6,102.3,220367,0
10:45:53,1130,70.8,81.9,221186,0
10:46:03,1140,50.0,60.6,221792,0
