time,running,desired,pending,visible,in_flight
10:25:37,1,1,0,0,0
10:26:10,1,1,0,0,0
10:26:42,1,1,0,0,0
10:27:14,1,1,0,0,7
10:27:47,1,1,0,6,0
10:28:19,1,1,0,5,1
10:28:52,1,1,0,11,3
10:29:24,1,1,0,0,1
10:29:56,1,1,0,0,3
10:30:29,1,1,0,18,2
10:31:01,1,1,0,33,3
10:31:34,1,1,0,33,3
10:32:06,1,1,0,69,2
10:32:39,1,1,0,107,3
10:33:11,1,1,0,186,3
10:33:43,1,1,0,673,0
10:34:16,1,1,0,1079,5
10:34:48,1,1,0,1832,1
10:35:21,1,1,0,3655,6
10:35:53,1,1,0,5502,3
10:36:26,1,2,0,5502,3
10:36:58,2,2,0,9455,7
10:37:31,2,2,0,8139,6
10:38:03,5,5,0,9014,11
10:38:36,5,5,0,3156,18
10:39:08,5,5,0,0,0
10:39:40,5,5,0,0,0
10:40:13,5,5,0,0,0
10:40:45,5,5,0,0,0
10:41:18,5,5,0,3,5
10:41:50,5,5,0,0,4
10:42:23,5,5,0,0,23
10:42:55,5,5,0,0,29
10:43:28,5,5,0,0,29
10:44:00,5,5,0,0,2
10:44:33,5,5,0,0,13
10:45:05,5,5,0,0,14
10:45:38,5,5,0,0,10
10:46:10,5,5,0,0,10
10:46:43,5,5,0,0,0
10:47:15,5,5,0,0,0
10:47:47,5,5,0,0,0
10:48:20,5,5,0,0,0
10:48:52,5,5,0,0,0
10:49:25,5,5,0,0,0
10:49:57,5,5,0,0,0
10:50:29,5,5,0,0,0
10:51:02,5,5,0,0,0
10:51:34,5,5,0,0,0
10:52:07,5,5,0,0,0
10:52:39,5,5,0,0,0
10:53:12,5,5,0,0,0
10:53:44,5,5,0,0,0
10:54:17,5,5,0,0,0
10:54:49,5,5,0,0,0
10:55:21,5,5,0,0,0
10:55:54,5,5,0,0,0
10:56:26,5,5,0,0,0
10:56:59,4,4,0,0,0
10:57:31,4,4,0,0,0
10:58:04,4,4,0,0,0
10:58:36,4,4,0,0,0
10:59:08,3,3,0,0,0
10:59:41,3,3,0,0,0
11:00:13,3,3,0,0,0
11:00:46,2,2,0,0,0
11:01:18,2,2,0,0,0
11:01:51,2,2,0,0,0
11:02:23,2,2,0,0,0
11:02:55,1,1,0,0,0
11:03:28,1,1,0,0,0
11:04:00,1,1,0,0,0
11:04:33,1,1,0,0,0
11:05:05,1,1,0,0,0
11:05:37,1,1,0,0,0
11:06:10,1,1,0,0,0
11:06:42,1,1,0,0,0
11:07:15,1,1,0,0,0
11:07:47,1,1,0,0,0
11:08:19,1,1,0,0,0
11:08:52,1,1,0,0,0
11:09:24,1,1,0,0,0
11:09:57,1,1,0,0,0
11:10:29,1,1,0,0,0
11:11:01,1,1,0,0,0
11:11:34,1,1,0,0,0
11:12:06,1,1,0,0,0
11:12:39,1,1,0,0,0
11:13:11,1,1,0,0,0
