time,latest_rate,metric_age_min,level,trend,horizon_min,forecast_rate,backlog,running,desired,planned,min_capacity,action
11:22:21,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
11:22:55,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
11:23:25,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
11:23:55,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
11:24:25,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
11:24:55,0.0,1.9,0.0,0.00,2.9,0.0,7,1,1,1,1,hold
11:25:25,3.0,1.4,1.5,0.45,2.4,2.2,2,1,1,1,1,hold
11:25:55,4.5,1.9,1.5,0.45,2.9,2.3,4,1,1,1,1,hold
11:26:25,42.8,1.4,22.3,6.49,2.4,33.1,0,1,1,1,1,hold
11:26:55,49.9,1.9,22.3,6.49,2.9,34.7,4,1,1,1,1,hold
11:27:25,46.7,1.4,37.1,8.08,2.4,50.6,0,1,1,1,1,hold
11:27:55,49.1,1.9,37.1,8.08,2.9,52.6,12,1,1,1,1,hold
11:28:25,58.4,1.4,51.0,8.69,2.4,65.5,22,1,1,1,1,hold
11:28:55,64.6,1.9,51.0,8.69,2.9,67.7,22,1,1,1,1,hold
11:29:25,74.2,1.4,66.1,9.39,2.4,81.8,38,1,1,1,1,hold
11:29:55,88.4,1.9,66.1,9.39,2.9,84.1,51,1,1,1,1,hold
11:30:25,102.2,1.4,87.9,11.81,2.4,107.6,93,1,1,1,1,hold
11:30:55,114.8,1.9,87.9,11.81,2.9,110.6,90,1,1,1,1,hold
11:31:25,114.8,1.4,106.1,12.06,2.4,126.3,106,1,1,2,2,raise_min_2
11:31:55,137.5,1.9,106.1,12.06,2.9,129.2,214,2,2,2,2,hold
11:32:25,141.1,1.4,128.4,13.45,2.4,150.9,14,2,2,2,2,hold
11:32:55,160.8,1.9,128.4,13.45,2.9,154.2,31,2,2,2,2,hold
11:33:25,163.1,1.4,151.1,14.35,2.4,175.2,36,2,2,2,2,hold
11:33:55,188.2,1.9,151.1,14.35,2.9,178.7,6,2,2,2,2,hold
11:34:25,165.3,1.4,163.9,11.88,2.4,183.8,6,2,2,2,2,hold
11:34:55,213.8,1.9,163.9,11.88,2.9,186.7,50,2,2,2,2,hold
11:35:25,205.0,1.4,189.2,14.24,2.4,213.0,56,2,2,2,2,hold
11:35:55,236.8,1.9,189.2,14.24,2.9,216.5,36,2,2,2,2,hold
11:36:25,235.9,1.4,218.2,16.68,2.4,246.2,69,2,2,3,3,raise_min_3
11:36:55,263.1,1.9,218.2,16.68,2.9,250.3,66,3,3,3,3,hold
11:37:25,252.7,1.4,242.2,16.52,2.4,269.8,81,3,3,3,3,hold
11:37:55,289.4,1.9,242.2,16.52,2.9,273.9,42,3,3,3,3,hold
11:38:25,270.0,1.4,262.7,15.40,2.4,288.5,6,3,3,3,3,hold
11:38:55,289.6,1.9,262.7,15.40,2.9,292.2,7,3,3,3,3,hold
11:39:25,256.1,1.4,265.6,9.49,2.4,281.4,22,3,3,3,3,hold
11:39:55,296.6,1.9,265.6,9.49,2.9,283.8,1,3,3,3,3,hold
11:40:25,269.6,1.4,271.4,7.06,2.4,283.2,21,3,3,3,3,hold
11:40:55,297.9,1.9,271.4,7.06,2.9,284.9,16,3,3,3,3,hold
11:41:25,255.4,1.4,266.2,2.40,2.4,270.2,17,3,3,3,3,hold
11:41:55,297.2,1.9,266.2,2.40,2.9,270.8,10,3,3,3,3,hold
11:42:25,242.4,1.4,255.3,-1.93,2.4,252.0,8,3,3,3,3,hold
11:42:56,299.3,1.9,255.3,-1.93,2.9,251.6,0,3,3,3,3,hold
11:43:26,202.6,1.4,228.1,-9.22,2.4,212.7,0,3,3,2,3,lower_pending_1
11:43:56,225.4,1.9,228.1,-9.22,2.9,210.4,0,3,3,2,3,lower_pending_2
11:44:26,88.8,1.4,154.8,-27.18,2.4,109.2,0,3,3,1,1,lower_min_1
11:44:56,97.2,1.9,154.8,-27.18,2.9,102.5,0,3,3,1,1,hold
11:45:26,0.0,1.4,66.5,-41.70,2.4,0.0,0,3,3,1,1,hold
11:45:56,0.0,1.9,66.5,-41.70,2.9,0.0,0,3,3,1,1,hold
11:46:26,0.0,1.4,16.6,-38.33,2.4,0.0,0,3,3,1,1,hold
11:46:56,0.0,1.9,16.6,-38.33,2.9,0.0,0,3,3,1,1,hold
11:47:26,0.0,1.4,-7.0,-28.55,2.4,0.0,0,3,3,1,1,hold
11:47:56,0.0,1.9,-7.0,-28.55,2.9,0.0,0,3,3,1,1,hold
11:48:26,0.0,1.4,-14.9,-18.36,2.4,0.0,0,3,3,1,1,hold
11:48:56,0.0,1.9,-14.9,-18.36,2.9,0.0,0,3,3,1,1,hold
11:49:26,0.0,1.4,-14.8,-10.24,2.4,0.0,0,3,3,1,1,hold
11:49:56,0.0,1.9,-14.8,-10.24,2.9,0.0,0,3,3,1,1,hold
11:50:26,0.0,1.4,-11.5,-4.74,2.4,0.0,0,3,3,1,1,hold
11:50:56,0.0,1.9,-11.5,-4.74,2.9,0.0,0,3,3,1,1,hold
11:51:26,0.0,1.4,-7.6,-1.50,2.4,0.0,0,3,3,1,1,hold
11:51:56,0.0,1.9,-7.6,-1.50,2.9,0.0,0,3,3,1,1,hold
11:52:26,0.0,1.4,-4.4,0.13,2.4,0.0,0,3,3,1,1,hold
11:52:56,0.0,1.9,-4.4,0.13,2.9,0.0,0,3,3,1,1,hold
11:53:26,0.0,1.4,-2.2,0.75,2.4,0.0,0,3,3,1,1,hold
11:53:56,0.0,1.9,-2.2,0.75,2.9,0.0,0,3,3,1,1,hold
11:54:26,0.0,1.4,-0.8,0.83,2.4,0.6,0,3,3,1,1,hold
11:54:56,0.0,1.9,-0.8,0.83,2.9,0.8,0,3,3,1,1,hold
11:55:26,0.0,1.4,-0.1,0.68,2.4,1.1,0,3,3,1,1,hold
11:55:56,0.0,1.9,-0.1,0.68,2.9,1.3,0,3,3,1,1,hold
