time,elapsed_s,target_rate,sent_rate,sent_total,failed_total
11:25:03,10,50.0,48.7,487,0
11:25:13,20,50.0,50.1,988,0
11:25:23,30,50.0,50.2,1490,0
11:25:33,40,50.0,50.2,1992,0
11:25:43,50,50.0,50.2,2494,0
11:25:53,60,50.0,50.1,2995,0
11:26:03,70,50.0,49.6,3491,0
11:26:13,80,50.0,50.1,3992,0
11:26:23,90,50.0,50.0,4492,0
11:26:33,100,50.0,50.0,4992,0
11:26:43,110,50.0,50.1,5493,0
11:26:53,120,50.0,49.9,5992,0
11:27:03,130,54.2,51.4,6506,0
11:27:13,140,58.3,56.5,7071,0
11:27:23,150,62.5,60.4,7675,0
11:27:33,160,66.7,63.8,8313,0
11:27:43,170,70.8,68.5,8998,0
11:27:53,180,75.0,72.7,9725,0
11:28:03,190,79.2,76.5,10490,0
11:28:13,200,83.3,81.4,11304,0
11:28:23,210,87.5,85.6,12160,0
11:28:33,220,91.7,89.0,13050,0
11:28:43,230,95.8,93.7,13987,0
11:28:53,240,100.0,96.7,14954,0
11:29:03,250,104.2,102.0,15974,0
11:29:13,260,108.3,106.2,17036,0
11:29:23,270,112.5,110.1,18137,0
11:29:33,280,116.7,114.8,19285,0
11:29:43,290,120.8,118.5,20470,0
11:29:53,300,125.0,123.0,21700,0
11:30:03,310,129.2,127.0,22970,0
11:30:13,320,133.3,130.8,24278,0
11:30:23,330,137.5,135.7,25635,0
11:30:33,340,141.7,138.3,27018,0
11:30:43,350,145.8,143.9,28457,0
11:30:53,360,150.0,145.8,29915,0
11:31:03,370,154.2,153.0,31445,0
11:31:13,380,158.3,156.1,33006,0
11:31:23,390,162.5,159.7,34603,0
11:31:33,400,166.7,163.9,36242,0
11:31:43,410,170.8,167.9,37921,0
11:31:53,420,175.0,171.2,39633,0
11:32:03,430,179.2,177.2,41405,0
11:32:13,440,183.3,180.2,43207,0
11:32:23,450,187.5,184.3,45050,0
11:32:33,460,191.7,190.1,46951,0
11:32:43,470,195.8,193.5,48886,0
11:32:53,480,200.0,197.3,50859,0
11:33:03,490,204.2,202.8,52887,0
11:33:13,500,208.3,205.0,54937,0
11:33:23,510,212.5,210.1,57038,0
11:33:33,520,216.7,213.0,59168,0
11:33:43,530,220.8,217.6,61344,0
11:33:53,540,225.0,222.4,63568,0
11:34:03,550,229.2,226.8,65836,0
11:34:13,560,233.3,230.4,68140,0
11:34:23,570,237.5,235.2,70492,0
11:34:33,580,241.7,238.8,72880,0
11:34:43,590,245.8,243.4,75314,0
11:34:53,600,250.0,245.6,77770,0
11:35:03,610,254.2,253.1,80301,0
11:35:13,620,258.3,255.3,82854,0
11:35:23,630,262.5,259.5,85449,0
11:35:33,640,266.7,263.2,88081,0
11:35:43,650,270.8,266.1,90742,0
11:35:53,660,275.0,275.3,93495,0
11:36:03,670,279.2,277.2,96267,0
11:36:13,680,283.3,279.5,99062,0
11:36:23,690,287.5,283.7,101899,0
11:36:33,700,291.7,290.1,104800,0
11:36:43,710,295.8,294.0,107740,0
11:36:53,720,300.0,298.4,110724,0
11:37:03,730,300.0,299.8,113722,0
11:37:13,740,300.0,300.4,116726,0
11:37:23,750,300.0,300.2,119728,0
11:37:33,760,300.0,295.6,122684,0
11:37:43,770,300.0,212.4,124808,0
11:37:53,780,300.0,303.6,127844,0
11:38:03,790,300.0,295.3,130797,0
11:38:13,800,300.0,313.2,133929,0
11:38:23,810,300.0,292.3,136852,0
11:38:33,820,300.0,297.8,139830,0
11:38:43,830,300.0,323.4,143064,0
11:38:53,840,300.0,305.2,146116,0
11:39:03,850,300.0,298.7,149103,0
11:39:13,860,300.0,298.0,152083,0
11:39:23,870,300.0,300.8,155091,0
11:39:33,880,300.0,300.9,158100,0
11:39:43,890,300.0,300.7,161107,0
11:39:53,900,300.0,299.3,164100,0
11:40:03,910,300.0,299.0,167090,0
11:40:13,920,300.0,301.3,170103,0
11:40:23,930,300.0,299.0,173093,0
11:40:33,940,300.0,300.5,176098,0
11:40:43,950,300.0,297.1,179069,0
11:40:53,960,300.0,301.0,182079,0
11:41:03,970,300.0,300.9,185088,0
11:41:13,980,300.0,299.9,188087,0
11:41:23,990,300.0,301.5,191102,0
11:41:33,1000,300.0,298.1,194083,0
11:41:43,1010,300.0,302.3,197106,0
11:41:53,1020,300.0,299.9,200105,0
11:42:03,1030,279.1,287.3,202978,0
11:42:13,1040,258.3,269.1,205669,0
11:42:23,1050,237.5,247.9,208148,0
11:42:33,1060,216.6,226.7,210415,0
11:42:43,1070,195.8,206.4,212479,0
11:42:53,1080,175.0,185.8,214337,0
11:43:03,1090,154.1,165.5,215992,0
11:43:13,1100,133.3,144.0,217432,0
11:43:23,1110,112.5,123.1,218663,0
11:43:33,1120,91.6,101.9,219682,0
11:43:43,1130,70.8,80.5,220487,0
11:43:53,1140,50.0,61.4,221101,0
