time,running,desired,pending,visible,in_flight
11:21:07,1,1,0,0,0
11:21:39,1,1,0,0,0
11:22:12,1,1,0,0,0
11:22:44,1,1,0,0,0
11:23:16,1,1,0,0,0
11:23:49,1,1,0,0,0
11:24:21,1,1,0,0,0
11:24:54,1,1,0,0,0
11:25:26,1,1,0,4,4
11:25:58,1,1,0,4,0
11:26:31,1,1,0,0,0
11:27:03,1,1,0,8,3
11:27:36,1,1,0,10,4
11:28:08,1,1,0,12,1
11:28:40,1,1,0,30,0
11:29:13,1,1,0,47,8
11:29:46,1,1,0,47,8
11:30:18,1,1,0,51,4
11:30:50,1,1,0,78,7
11:31:23,1,1,0,90,3
11:31:55,2,2,0,135,14
11:32:27,2,2,0,36,10
11:33:00,2,2,0,33,7
11:33:33,2,2,0,24,4
11:34:05,2,2,0,26,6
11:34:38,2,2,0,26,13
11:35:10,2,2,0,49,5
11:35:42,2,2,0,49,5
11:36:15,2,2,0,37,17
11:36:47,2,3,1,66,11
11:37:20,3,3,0,72,4
11:37:52,3,3,0,16,10
11:38:37,3,3,0,15,13
11:39:09,3,3,0,12,15
11:39:42,3,3,0,21,9
11:40:14,3,3,0,18,6
11:40:47,3,3,0,12,10
11:41:19,3,3,0,11,14
11:41:52,3,3,0,15,21
11:42:24,3,3,0,0,0
11:42:57,3,3,0,14,10
11:43:29,3,3,0,0,0
11:44:02,3,3,0,0,0
11:44:34,3,3,0,0,0
11:45:07,3,3,0,0,0
11:45:39,3,3,0,0,0
11:46:12,3,3,0,0,0
11:46:44,3,3,0,0,0
11:47:16,3,3,0,0,0
11:47:49,3,3,0,0,0
11:48:21,3,3,0,0,0
11:48:54,3,3,0,0,0
11:49:26,3,3,0,0,0
11:49:59,3,3,0,0,0
11:50:31,3,3,0,0,0
11:51:04,3,3,0,0,0
11:51:36,3,3,0,0,0
11:52:09,3,3,0,0,0
11:52:41,3,3,0,0,0
11:53:13,3,3,0,0,0
11:53:46,3,3,0,0,0
11:54:18,3,3,0,0,0
11:54:51,3,3,0,0,0
11:55:23,3,3,0,0,0
11:55:56,3,3,0,0,0
11:56:28,3,3,0,0,0
11:57:01,3,3,0,0,0
11:57:33,3,3,0,0,0
11:58:06,3,3,0,0,0
11:58:38,3,3,0,0,0
11:59:10,3,3,0,0,0
11:59:43,3,3,0,0,0
12:00:15,3,3,0,0,0
12:00:48,2,2,0,0,0
12:01:20,2,2,0,0,0
12:01:52,2,2,0,0,0
12:02:25,2,2,0,0,0
12:02:57,1,1,0,0,0
12:03:30,1,1,0,0,0
12:04:02,1,1,0,0,0
12:04:35,1,1,0,0,0
12:05:07,1,1,0,0,0
12:05:39,1,1,0,0,0
12:06:12,1,1,0,0,0
12:06:44,1,1,0,0,0
12:07:17,1,1,0,0,0
12:07:49,1,1,0,0,0
