time,latest_rate,metric_age_min,level,trend,horizon_min,forecast_rate,backlog,running,desired,planned,min_capacity,action
19:10:53,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:11:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:11:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:12:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:12:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:13:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:13:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:14:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:14:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:15:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:15:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:16:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:16:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:17:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:17:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:18:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:18:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:19:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:19:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:20:26,0.0,1.4,0.0,0.00,2.4,0.0,0,1,1,1,1,hold
19:20:56,0.0,1.9,0.0,0.00,2.9,0.0,0,1,1,1,1,hold
19:21:26,2.0,1.4,1.0,0.30,2.4,1.5,6,1,1,1,1,hold
19:21:56,2.3,1.9,1.0,0.30,2.9,1.6,0,1,1,1,1,hold
19:22:26,46.0,1.4,23.6,6.95,2.4,35.3,5,1,1,1,1,hold
19:22:56,50.0,1.9,23.6,6.95,2.9,37.0,0,1,1,1,1,hold
19:23:26,45.9,1.4,37.5,8.06,2.4,51.1,0,1,1,1,1,hold
19:23:56,50.0,1.9,37.5,8.06,2.9,53.1,10,1,1,1,1,hold
19:24:27,50.1,1.5,47.0,7.37,2.5,59.4,21,1,1,1,1,hold
19:24:57,63.6,2.0,47.0,7.37,3.0,61.2,13,1,1,1,1,hold
19:25:27,80.5,1.5,66.7,10.04,2.5,83.6,21,1,1,1,1,hold
19:25:57,88.3,2.0,66.7,10.04,3.0,86.1,22,1,1,1,1,hold
19:26:27,76.8,1.5,75.8,8.33,2.5,89.8,39,1,1,1,1,hold
