time,elapsed_s,target_rate,sent_rate,sent_total,failed_total
19:21:05,10,50.0,48.7,487,0
19:21:15,20,50.0,50.1,988,0
19:21:25,30,50.0,49.8,1486,0
19:21:35,40,50.0,50.0,1986,0
19:21:45,50,50.0,50.0,2486,0
19:21:55,60,50.0,49.6,2982,0
19:22:05,70,50.0,50.2,3484,0
19:22:15,80,50.0,50.2,3986,0
19:22:25,90,50.0,49.9,4485,0
19:22:35,100,50.0,49.9,4984,0
19:22:45,110,50.0,49.9,5483,0
19:22:55,120,50.0,49.9,5982,0
19:23:05,130,54.2,52.1,6503,0
19:23:15,140,58.3,55.8,7061,0
19:23:25,150,62.5,60.1,7662,0
19:23:35,160,66.7,64.5,8307,0
19:23:45,170,70.8,68.6,8993,0
19:23:55,180,75.0,73.1,9724,0
19:24:05,190,79.2,76.6,10490,0
19:24:15,200,83.3,81.4,11304,0
19:24:25,210,87.5,85.6,12160,0
19:24:35,220,91.7,89.2,13052,0
19:24:45,230,95.8,92.8,13980,0
19:24:55,240,100.0,97.5,14955,0
19:25:05,250,104.2,101.8,15973,0
19:25:15,260,108.3,105.9,17032,0
19:25:25,270,112.5,110.0,18132,0
19:25:35,280,116.7,114.7,19279,0
19:25:45,290,120.8,118.5,20464,0
19:25:55,300,125.0,123.1,21695,0
19:26:05,310,129.2,126.6,22961,0
19:26:15,320,133.3,131.5,24276,0
19:26:25,330,137.5,134.4,25620,0
19:26:35,340,141.7,139.6,27016,0
19:26:45,350,145.8,144.3,28459,0
19:26:55,360,150.0,147.9,29938,0
19:27:05,370,154.2,151.9,31457,0
19:27:15,380,158.3,156.0,33017,0
19:27:25,390,162.5,160.3,34620,0
19:27:35,400,166.7,162.8,36248,0
19:27:45,410,170.8,167.7,37925,0
19:27:55,420,175.0,172.2,39647,0
19:28:05,430,179.2,178.0,41427,0
19:28:15,440,183.3,181.3,43240,0
19:28:25,450,187.5,185.7,45097,0
19:28:35,460,191.7,189.4,46991,0
19:28:45,470,195.8,194.6,48937,0
19:28:55,480,200.0,195.5,50892,0
19:29:05,490,204.2,202.0,52912,0
19:29:15,500,208.3,206.4,54976,0
19:29:25,510,212.5,210.6,57082,0
19:29:35,520,216.7,214.5,59227,0
19:29:45,530,220.8,219.3,61420,0
19:29:55,540,225.0,223.1,63651,0
19:30:05,550,229.2,226.8,65919,0
19:30:15,560,233.3,230.2,68221,0
19:30:25,570,237.5,232.4,70545,0
19:30:35,580,241.7,236.7,72912,0
19:30:45,590,245.8,244.2,75354,0
19:30:55,600,250.0,246.4,77818,0
19:31:05,610,254.2,252.6,80344,0
19:31:15,620,258.3,256.2,82906,0
19:31:25,630,262.5,260.4,85510,0
19:31:35,640,266.7,264.6,88156,0
19:31:45,650,270.8,268.5,90841,0
19:31:55,660,275.0,270.9,93550,0
19:32:05,670,279.2,277.9,96329,0
19:32:15,680,283.3,280.3,99132,0
19:32:25,690,287.5,284.4,101976,0
19:32:35,700,291.7,289.2,104868,0
19:32:45,710,295.8,293.2,107800,0
19:32:55,720,300.0,298.9,110789,0
19:33:05,730,300.0,299.1,113780,0
19:33:15,740,300.0,298.6,116766,0
19:33:25,750,300.0,300.6,119772,0
19:33:35,760,300.0,300.5,122777,0
19:33:45,770,300.0,301.1,125788,0
19:33:55,780,300.0,300.8,128796,0
19:34:05,790,300.0,299.7,131793,0
19:34:15,800,300.0,298.3,134776,0
19:34:25,810,300.0,294.7,137723,0
19:34:35,820,300.0,301.0,140733,0
19:34:45,830,300.0,301.0,143743,0
19:34:55,840,300.0,300.3,146746,0
19:35:05,850,300.0,299.4,149740,0
19:35:15,860,300.0,300.4,152744,0
19:35:25,870,300.0,299.8,155742,0
19:35:35,880,300.0,300.9,158751,0
19:35:45,890,300.0,299.7,161748,0
19:35:55,900,300.0,300.9,164757,0
19:36:05,910,300.0,298.2,167739,0
19:36:15,920,300.0,298.3,170722,0
19:36:25,930,300.0,299.9,173721,0
19:36:35,940,300.0,299.7,176718,0
19:36:45,950,300.0,299.0,179708,0
19:36:55,960,300.0,297.8,182686,0
19:37:05,970,300.0,299.4,185680,0
19:37:15,980,300.0,296.8,188648,0
19:37:25,990,300.0,298.6,191634,0
19:37:35,1000,300.0,300.5,194639,0
19:37:45,1010,300.0,300.8,197647,0
19:37:55,1020,300.0,298.9,200636,0
19:38:05,1030,279.1,289.9,203535,0
19:38:15,1040,258.3,269.7,206232,0
19:38:25,1050,237.5,246.7,208699,0
19:38:35,1060,216.6,228.5,210984,0
19:38:45,1070,195.8,205.6,213040,0
19:38:55,1080,175.0,183.1,214871,0
19:39:05,1090,154.1,165.3,216524,0
19:39:15,1100,133.3,145.1,217975,0
19:39:25,1110,112.5,123.4,219209,0
19:39:35,1120,91.6,102.5,220234,0
19:39:45,1130,70.8,81.7,221051,0
19:39:55,1140,50.0,60.8,221659,0
