time,running,desired,pending,visible,in_flight
19:10:15,1,1,0,0,0
19:10:47,1,1,0,0,0
19:11:20,1,1,0,0,0
19:11:52,1,1,0,0,0
19:12:25,1,1,0,0,0
19:12:57,1,1,0,0,0
19:13:30,1,1,0,0,0
19:14:02,1,1,0,0,0
19:14:35,1,1,0,0,0
19:15:07,1,1,0,0,0
19:15:39,1,1,0,0,0
19:16:12,1,1,0,0,0
19:16:44,1,1,0,0,0
19:17:17,1,1,0,0,0
19:17:49,1,1,0,0,0
19:18:22,1,1,0,0,0
19:18:54,1,1,0,0,0
19:19:26,1,1,0,0,0
19:19:59,1,1,0,0,0
19:20:31,1,1,0,0,0
19:21:04,1,1,0,6,0
19:21:36,1,1,0,0,0
19:22:09,1,1,0,4,1
19:22:41,1,1,0,5,2
19:23:14,1,1,0,0,5
19:23:46,1,1,0,9,5
19:24:18,1,1,0,14,2
19:24:51,1,1,0,14,2
19:25:23,1,1,0,29,7
19:25:56,1,1,0,24,7
19:26:28,1,1,0,40,0
19:27:01,1,1,0,53,7
19:27:33,1,1,0,111,5
19:28:05,1,2,1,123,2
19:28:38,2,2,0,148,8
19:29:10,2,2,0,18,8
19:29:43,2,2,0,23,4
19:30:15,2,2,0,23,9
19:30:47,2,2,0,46,9
19:31:20,2,2,0,32,12
19:31:52,2,2,0,67,5
19:32:25,2,2,0,104,8
19:32:57,2,3,1,74,11
19:33:30,3,3,0,10,8
19:34:02,3,3,0,21,17
19:34:34,3,3,0,23,16
19:35:07,3,3,0,6,13
19:35:39,3,4,1,11,23
19:36:12,4,4,0,0,24
19:36:44,3,3,0,0,30
19:37:17,3,3,0,5,11
19:37:49,3,3,0,17,10
19:38:21,3,3,0,6,15
19:38:54,3,3,0,10,4
19:39:27,3,3,0,0,1
19:39:59,3,3,0,0,0
19:40:32,3,1,0,0,0
19:41:05,1,1,0,0,0
19:41:37,1,1,0,0,0
19:42:10,1,1,0,0,0
19:42:42,1,1,0,0,0
