time,elapsed_s,target_rate,sent_rate,sent_total,failed_total
12:12:19,10,50.0,48.3,483,0
12:12:29,20,50.0,50.0,983,0
12:12:39,30,50.0,50.3,1486,0
12:12:49,40,50.0,49.4,1980,0
12:12:59,50,50.0,50.0,2480,0
12:13:09,60,50.0,49.8,2978,0
12:13:19,70,50.0,50.0,3478,0
12:13:29,80,50.0,50.0,3978,0
12:13:39,90,50.0,50.0,4478,0
12:13:49,100,50.0,50.0,4978,0
12:13:59,110,50.0,49.3,5471,0
12:14:09,120,50.0,49.8,5969,0
12:14:19,130,50.0,49.8,6467,0
12:14:29,140,50.0,49.2,6959,0
12:14:39,150,50.0,51.2,7471,0
12:14:49,160,50.0,49.9,7970,0
12:14:59,170,50.0,50.1,8471,0
12:15:09,180,300.0,50.1,8972,0
12:15:19,190,300.0,291.9,11891,0
12:15:29,200,300.0,299.7,14888,0
12:15:39,210,300.0,300.2,17890,0
12:15:49,220,300.0,298.7,20877,0
12:15:59,230,300.0,296.5,23842,0
12:16:09,240,300.0,301.9,26861,0
12:16:19,250,300.0,297.8,29839,0
12:16:29,260,300.0,304.0,32879,0
12:16:39,270,300.0,300.2,35881,0
12:16:49,280,300.0,298.0,38861,0
12:16:59,290,300.0,299.0,41851,0
12:17:09,300,300.0,300.5,44856,0
12:17:19,310,300.0,299.0,47846,0
12:17:29,320,300.0,297.7,50823,0
12:17:39,330,300.0,300.7,53830,0
12:17:49,340,300.0,297.6,56806,0
12:17:59,350,300.0,300.4,59810,0
12:18:09,360,300.0,301.3,62823,0
12:18:19,370,300.0,300.3,65826,0
12:18:29,380,300.0,295.7,68783,0
12:18:39,390,300.0,300.7,71790,0
12:18:49,400,300.0,299.7,74787,0
12:18:59,410,300.0,295.2,77739,0
12:19:09,420,300.0,300.2,80741,0
12:19:19,430,300.0,300.1,83742,0
12:19:29,440,300.0,297.7,86719,0
12:19:39,450,300.0,298.8,89707,0
12:19:49,460,300.0,299.3,92700,0
12:19:59,470,300.0,298.0,95680,0
12:20:09,480,50.0,300.7,98687,0
12:20:19,490,50.0,55.3,99240,0
12:20:29,500,50.0,49.5,99735,0
12:20:39,510,50.0,49.8,100233,0
12:20:49,520,50.0,49.8,100731,0
12:20:59,530,50.0,49.6,101227,0
12:21:09,540,50.0,49.7,101724,0
12:21:19,550,50.0,50.1,102225,0
12:21:29,560,50.0,49.9,102724,0
12:21:39,570,50.0,49.6,103220,0
12:21:49,580,50.0,50.0,103720,0
12:21:59,590,50.0,49.7,104217,0
12:22:09,600,50.0,49.5,104712,0
12:22:19,610,50.0,49.4,105206,0
12:22:29,620,50.0,50.6,105712,0
12:22:39,630,50.0,49.5,106207,0
12:22:49,640,50.0,49.8,106705,0
12:22:59,650,50.0,49.6,107201,0
12:23:09,660,50.0,50.6,107707,0
