time,running,desired,pending,visible,in_flight
12:36:43,5,5,0,0,0
12:37:15,5,5,0,0,0
12:37:48,5,5,0,0,0
12:38:20,5,5,0,0,0
12:38:52,5,5,0,0,0
12:39:25,5,5,0,0,0
12:39:57,5,5,0,0,0
12:40:30,5,5,0,0,0
12:41:02,5,5,0,0,0
12:41:34,5,5,0,0,0
12:42:07,5,5,0,0,0
12:42:39,5,5,0,0,0
12:43:12,5,5,0,0,0
12:43:44,4,4,0,0,0
12:44:16,4,4,0,0,0
12:44:49,4,4,0,0,0
12:45:21,4,4,0,0,0
12:45:54,3,3,0,0,0
12:46:26,3,3,0,0,0
12:46:58,3,3,0,0,0
12:47:31,3,3,0,0,0
12:48:03,2,2,0,0,0
12:48:36,2,2,0,0,0
12:49:08,2,2,0,0,0
12:49:40,2,1,0,0,0
12:50:13,1,1,0,0,0
12:50:45,1,1,0,0,0
