time,running,desired,pending,visible,in_flight
12:08:56,1,1,0,0,0
12:09:28,1,1,0,0,0
12:10:01,1,1,0,0,0
12:10:33,1,1,0,0,0
12:11:06,1,1,0,0,0
12:11:38,1,1,0,0,0
12:12:11,1,1,0,0,0
12:12:43,1,1,0,0,3
12:13:15,1,1,0,2,2
12:13:48,1,1,0,5,2
12:14:20,1,1,0,0,5
12:14:53,1,1,0,2,2
12:15:25,1,1,0,2094,5
12:15:57,1,1,0,2094,5
12:16:30,1,1,0,4310,2
12:17:02,1,1,0,12152,8
12:17:35,1,1,0,15445,0
12:18:07,1,1,0,18612,10
12:18:40,1,1,0,21456,7
12:19:12,1,1,0,24773,10
12:19:44,1,1,0,28106,2
12:20:17,1,1,0,28919,2
12:20:49,1,5,4,25015,2
12:21:22,5,5,0,12356,34
12:21:54,5,5,0,0,0
12:22:27,5,5,0,0,0
12:22:59,5,5,0,0,0
12:23:31,5,5,0,0,3
12:24:04,5,5,0,0,0
12:24:36,5,5,0,0,0
12:25:09,5,5,0,0,0
12:25:41,5,5,0,0,0
12:26:13,5,5,0,0,0
12:26:46,5,5,0,0,0
12:27:18,5,5,0,0,0
12:28:31,5,5,0,0,0
12:29:03,5,5,0,0,0
12:29:35,5,5,0,0,0
12:30:08,5,5,0,0,0
12:30:40,5,5,0,0,0
12:31:13,5,5,0,0,0
12:31:45,5,5,0,0,0
12:32:18,5,5,0,0,0
12:32:50,5,5,0,0,0
12:33:22,5,5,0,0,0
