time,latest_rate,metric_age_min,level,trend,horizon_min,forecast_rate,backlog,running,desired,planned,min_capacity,action
18:32:40,0.0,1.7,0.0,0.00,2.7,0.0,0,1,1,1,1,hold
18:33:13,0.0,2.2,0.0,0.00,3.2,0.0,0,1,1,1,1,hold
18:33:43,0.0,1.7,0.0,0.00,2.7,0.0,0,1,1,1,1,hold
18:34:13,0.0,2.2,0.0,0.00,3.2,0.0,0,1,1,1,1,hold
18:34:44,0.0,1.7,0.0,0.00,2.7,0.0,0,1,1,1,1,hold
18:35:14,0.0,2.2,0.0,0.00,3.2,0.0,0,1,1,1,1,hold
18:35:44,0.0,1.7,0.0,0.00,2.7,0.0,18,1,1,1,1,hold
18:36:14,7.4,1.2,3.7,1.11,2.2,5.5,4,1,1,1,1,hold
18:36:44,8.9,1.7,3.7,1.11,2.7,5.8,2,1,1,1,1,hold
18:37:14,37.8,1.2,21.2,5.87,2.2,30.4,0,1,1,1,1,hold
18:37:44,49.2,1.7,21.2,5.87,2.7,31.9,18,1,1,1,1,hold
18:38:14,38.6,1.2,32.2,6.60,2.2,42.6,3,1,1,1,1,hold
18:38:44,46.4,1.7,32.2,6.60,2.7,44.3,239,1,1,1,1,hold
18:39:14,85.2,1.2,61.3,12.43,2.2,80.9,3016,1,1,2,2,raise_min_2
18:39:44,106.7,1.7,61.3,12.43,2.7,84.1,3409,2,2,2,2,hold
18:40:14,224.8,1.2,148.0,32.97,2.2,199.9,6388,2,2,3,3,raise_min_3
18:40:44,282.2,1.7,148.0,32.97,2.7,208.3,6388,3,3,3,3,hold
18:41:14,259.5,1.2,217.0,39.14,2.2,278.5,638,3,3,3,3,hold
18:41:44,294.4,1.7,217.0,39.14,2.7,288.6,2323,3,3,3,3,hold
18:42:14,226.5,1.2,237.4,28.05,2.2,281.5,21,3,3,3,3,hold
18:42:44,293.3,1.7,237.4,28.05,2.7,288.7,7,3,3,3,3,hold
18:43:14,223.5,1.2,241.7,16.98,2.2,268.4,28,3,3,3,3,hold
18:43:44,285.7,1.7,241.7,16.98,2.7,272.7,28,3,5,3,3,hold
18:44:14,183.8,1.2,219.5,2.86,2.2,224.0,0,5,5,2,3,lower_pending_1
18:44:44,233.6,1.7,219.5,2.86,2.7,224.7,0,5,5,2,3,lower_pending_2
18:45:14,41.4,1.2,131.6,-24.77,2.2,92.6,0,5,5,1,1,lower_min_1
18:45:44,46.1,1.7,131.6,-24.77,2.7,86.3,0,5,5,1,1,hold
