time,elapsed_s,target_rate,sent_rate,sent_total,failed_total
18:35:53,10,50.0,48.4,484,0
18:36:03,20,50.0,50.1,985,0
18:36:13,30,50.0,50.1,1486,0
18:36:23,40,50.0,49.7,1983,0
18:36:33,50,50.0,49.5,2478,0
18:36:43,60,50.0,50.2,2980,0
18:36:53,70,50.0,50.0,3480,0
18:37:03,80,50.0,50.1,3981,0
18:37:13,90,50.0,49.5,4476,0
18:37:23,100,50.0,48.6,4962,0
18:37:33,110,50.0,51.9,5481,0
18:37:43,120,50.0,49.6,5977,0
18:37:53,130,50.0,49.7,6474,0
18:38:03,140,50.0,50.0,6974,0
18:38:13,150,50.0,50.0,7474,0
18:38:23,160,50.0,50.0,7974,0
18:38:33,170,50.0,50.3,8477,0
18:38:43,180,300.0,49.9,8976,0
18:38:53,190,300.0,294.4,11920,0
18:39:03,200,300.0,301.2,14932,0
18:39:13,210,300.0,300.1,17933,0
18:39:23,220,300.0,294.7,20880,0
18:39:33,230,300.0,301.4,23894,0
18:39:43,240,300.0,300.4,26898,0
18:39:53,250,300.0,298.6,29884,0
18:40:03,260,300.0,301.5,32899,0
18:40:13,270,300.0,301.3,35912,0
18:40:23,280,300.0,299.2,38904,0
18:40:33,290,300.0,302.1,41925,0
18:40:43,300,300.0,299.6,44921,0
18:40:53,310,300.0,298.8,47909,0
18:41:03,320,300.0,296.0,50869,0
18:41:13,330,300.0,298.4,53853,0
18:41:23,340,300.0,300.8,56861,0
18:41:33,350,300.0,299.3,59854,0
18:41:43,360,300.0,300.6,62860,0
18:41:53,370,300.0,299.9,65859,0
18:42:03,380,300.0,302.1,68880,0
18:42:13,390,300.0,300.3,71883,0
18:42:23,400,300.0,296.9,74852,0
18:42:33,410,300.0,295.0,77802,0
18:42:43,420,300.0,302.6,80828,0
18:42:53,430,300.0,300.2,83830,0
18:43:03,440,300.0,300.5,86835,0
18:43:13,450,300.0,298.6,89821,0
18:43:23,460,300.0,300.2,92823,0
18:43:33,470,300.0,301.4,95837,0
18:43:43,480,50.0,301.8,98855,0
18:43:53,490,50.0,55.2,99407,0
18:44:03,500,50.0,49.8,99905,0
18:44:13,510,50.0,50.1,100406,0
18:44:23,520,50.0,50.1,100907,0
18:44:33,530,50.0,49.9,101406,0
18:44:43,540,50.0,49.9,101905,0
18:44:53,550,50.0,50.0,102405,0
18:45:03,560,50.0,50.2,102907,0
18:45:13,570,50.0,49.9,103406,0
18:45:23,580,50.0,50.1,103907,0
18:45:33,590,50.0,49.8,104405,0
18:45:43,600,50.0,50.1,104906,0
18:45:53,610,50.0,50.1,105407,0
18:46:03,620,50.0,49.9,105906,0
18:46:13,630,50.0,49.6,106402,0
18:46:23,640,50.0,50.0,106902,0
18:46:33,650,50.0,50.0,107402,0
18:46:43,660,50.0,49.9,107901,0
