time,running,desired,pending,visible,in_flight
18:31:58,1,1,0,0,0
18:32:31,1,1,0,0,0
18:33:03,1,1,0,0,0
18:33:36,1,1,0,0,0
18:34:08,1,1,0,0,0
18:34:41,1,1,0,0,0
18:35:13,1,1,0,0,0
18:35:46,1,1,0,0,0
18:36:18,1,1,0,18,9
18:36:51,1,1,0,2,3
18:37:23,1,1,0,0,5
18:37:56,1,1,0,0,5
18:38:28,1,1,0,3,2
18:39:01,1,1,0,239,3
18:39:33,1,2,1,3858,8
18:40:06,2,2,0,6436,11
18:40:39,2,3,1,5169,9
18:41:12,3,3,0,6096,10
18:41:44,3,3,0,3,8
18:42:17,3,3,0,4,19
18:42:49,3,3,0,16,4
18:43:22,3,3,0,22,11
18:43:54,3,5,2,0,4
18:44:27,5,5,0,0,2
18:44:59,5,5,0,0,1
18:45:32,5,5,0,0,6
18:46:04,5,5,0,0,6
18:46:37,5,5,0,0,0
18:47:09,5,5,0,0,0
18:47:42,5,5,0,0,0
18:48:14,5,5,0,0,0
18:48:47,5,5,0,0,0
18:49:19,5,5,0,0,0
18:49:51,5,5,0,0,0
18:50:24,5,5,0,0,0
18:50:56,5,5,0,0,0
18:51:29,5,5,0,0,0
18:52:01,5,5,0,0,0
18:52:34,5,5,0,0,0
18:53:06,5,5,0,0,0
18:53:39,5,5,0,0,0
18:54:11,5,5,0,0,0
18:54:44,5,5,0,0,0
18:55:16,5,5,0,0,0
18:55:49,5,5,0,0,0
18:56:21,5,5,0,0,0
18:56:53,5,5,0,0,0
18:57:26,5,5,0,0,0
18:57:58,5,5,0,0,0
18:58:31,5,5,0,0,0
18:59:03,5,5,0,0,0
18:59:36,5,5,0,0,0
19:00:08,5,5,0,0,0
19:00:41,5,5,0,0,0
19:01:13,5,5,0,0,0
19:01:45,4,4,0,0,0
19:02:18,4,4,0,0,0
19:02:50,4,4,0,0,0
19:03:23,4,4,0,0,0
19:03:55,3,3,0,0,0
19:04:28,3,3,0,0,0
19:05:00,3,3,0,0,0
19:05:32,3,3,0,0,0
19:06:05,2,2,0,0,0
19:06:37,2,2,0,0,0
19:07:10,2,2,0,0,0
19:07:42,1,1,0,0,0
19:08:15,1,1,0,0,0
