time,running,desired,pending,visible,in_flight
18:36:46,1,1,0,0,0
18:37:18,1,1,0,0,0
18:37:51,1,1,0,0,0
18:38:23,1,1,0,0,0
18:38:55,1,1,0,0,0
18:39:28,1,1,0,197,9
18:40:00,1,1,0,459,9
18:40:32,1,1,0,250,0
18:41:05,1,1,0,426,3
18:41:37,1,1,0,582,6
18:42:09,1,1,0,512,6
18:42:42,1,1,0,821,8
18:43:14,1,1,0,631,4
18:43:46,1,1,0,631,4
18:44:19,1,5,4,380,2
18:44:51,5,5,0,0,2
18:45:23,5,5,0,0,15
18:45:56,5,5,0,0,15
18:46:28,5,5,0,0,2
18:47:00,5,5,0,0,5
18:47:33,5,5,0,0,0
18:48:05,5,5,0,0,0
18:48:37,5,5,0,0,0
18:49:10,5,5,0,0,0
18:49:42,5,5,0,0,0
18:50:14,5,5,0,0,0
18:50:47,5,5,0,0,0
